IATA,ICAO,Airport,Location,Timezone,Season
BKW,KBKW,Raleigh County Memorial Airport,"Beckley, West Virginia, United States",UTC-05:00,Mar-Nov
BKX,KBKX,Brookings Regional Airport,"Brookings, South Dakota, United States",UTC-06:00,Mar-Nov
BLF,KBLF,Mercer County Airport,"Bluefield, West Virginia, United States",UTC-05:00,Mar-Nov
BLH,KBLH,Blythe Airport,"Blythe, California, United States",UTC-08:00,Mar-Nov
BLI,KBLI,Bellingham International Airport,"Bellingham, Washington, United States",UTC-08:00,Mar-Nov
BLM,KBLM,Monmouth Executive Airport,"Belmar / Farmingdale, New Jersey, United States",UTC-05:00,Mar-Nov
BLU,KBLU,Blue Canyon–Nyack Airport,"Emigrant Gap, California, United States",UTC-08:00,Mar-Nov
BLV,KBLV,MidAmerica St. Louis Airport / Scott Air Force Base,"Belleville, Illinois, United States",UTC-06:00,Mar-Nov
BMC,KBMC,Brigham City Airport,"Brigham City, Utah, United States",UTC-07:00,Mar-Nov
BMG,KBMG,Monroe County Airport,"Bloomington, Indiana, United States",UTC-05:00,Mar-Nov
BMI,KBMI,Central Illinois Regional Airport,"Bloomington, Illinois, United States",UTC-06:00,Mar-Nov
BML,KBML,Berlin Regional Airport,"Berlin, New Hampshire, United States",UTC-05:00,Mar-Nov
BMT,KBMT,Beaumont Municipal Airport,"Beaumont, Texas, United States",UTC-06:00,Mar-Nov
BNA,KBNA,Nashville International Airport,"Nashville, Tennessee, United States",UTC-06:00,Mar-Nov
BNG,KBNG,Banning Municipal Airport,"Banning, California, United States",UTC-08:00,Mar-Nov
BNL,KBNL,Barnwell Regional Airport,"Barnwell, South Carolina, United States",UTC-05:00,Mar-Nov
BNO,KBNO,Burns Municipal Airport,"Burns, Oregon, United States",UTC-08:00,Mar-Nov
BNW,KBNW,Boone Municipal Airport,"Boone, Iowa, United States",UTC-06:00,Mar-Nov
BOI,KBOI,Boise Air Terminal (Gowen Field),"Boise, Idaho, United States",UTC-07:00,Mar-Nov
BOK,KBOK,Brookings Airport,"Brookings, Oregon, United States",UTC-08:00,Mar-Nov
BOS,KBOS,Logan International Airport,"Boston, Massachusetts, United States",UTC-05:00,Mar-Nov
BOW,KBOW,Bartow Municipal Airport,"Bartow, Florida, United States",UTC-05:00,Mar-Nov
HCA,KBPG,Big Spring McMahon–Wrinkle Airport[1] (FAA: BPG),"Big Spring, Texas, United States",UTC-06:00,Mar-Nov
BPI,KBPI,Miley Memorial Field,"Big Piney, Wyoming, United States",UTC-07:00,Mar-Nov
WMH,KBPK,Ozark Regional Airport (FAA: BPK),"Mountain Home, Arkansas, United States",,
BWM,KBPP,Bowman Municipal Airport (FAA: BPP),"Bowman, North Dakota, United States",UTC-07:00,Mar-Nov
BPT,KBPT,Jack Brooks Regional Airport,"Beaumont / Port Arthur, Texas, United States",UTC-06:00,Mar-Nov
BQK,KBQK,Brunswick Golden Isles Airport,"Brunswick, Georgia, United States",UTC-05:00,Mar-Nov
BRD,KBRD,Brainerd Lakes Regional Airport,"Brainerd, Minnesota, United States",UTC-06:00,Mar-Nov
BRL,KBRL,Southeast Iowa Regional Airport,"Burlington, Iowa, United States",UTC-06:00,Mar-Nov
BRO,KBRO,Brownsville/South Padre Island International Airport,"Brownsville, Texas, United States",UTC-06:00,Mar-Nov
BRY,KBRY,Samuels Field,"Bardstown, Kentucky, United States",UTC-05:00,Mar-Nov
BTF,KBTF,Skypark Airport,"Bountiful, Utah, United States",UTC-07:00,Mar-Nov
BTL,KBTL,W. K. Kellogg Airport,"Battle Creek, Michigan, United States",UTC-05:00,Mar-Nov
BTM,KBTM,Bert Mooney Airport,"Butte, Montana, United States",UTC-07:00,Mar-Nov
TTO,KBTN,Britton Municipal Airport (FAA: BTN),"Britton, South Dakota, United States",,
BTP,KBTP,Butler County Airport (K.W. Scholter Field),"Butler, Pennsylvania, United States",UTC-05:00,Mar-Nov
BTR,KBTR,Baton Rouge Metropolitan Airport (Ryan Field),"Baton Rouge, Louisiana, United States",UTC-06:00,Mar-Nov
BTV,KBTV,Burlington International Airport,"Burlington, Vermont, United States",UTC-05:00,Mar-Nov
BTY,KBTY,Beatty Airport,"Beatty, Nevada, United States",UTC-08:00,Mar-Nov
BUB,KBUB,Cram Field,"Burwell, Nebraska, United States",UTC-06:00,Mar-Nov
BUF,KBUF,Buffalo Niagara International Airport,"Buffalo, New York, United States",UTC-05:00,Mar-Nov
BUM,KBUM,Butler Memorial Airport,"Butler, Missouri, United States",UTC-06:00,Mar-Nov
BUR,KBUR,Bob Hope Airport,"Burbank, California, United States",UTC-08:00,Mar-Nov
BFP,KBVI,Beaver County Airport (FAA: BVI),"Beaver Falls, Pennsylvania, United States",UTC-05:00,Mar-Nov
BVO,KBVO,Bartlesville Municipal Airport,"Bartlesville, Oklahoma, United States",UTC-06:00,Mar-Nov
MVW,KBVS,Skagit Regional Airport (FAA: BVS),"Burlington / Mount Vernon, Washington, United States",UTC-08:00,Mar-Nov
BVX,KBVX,Batesville Regional Airport,"Batesville, Arkansas, United States",UTC-06:00,Mar-Nov
BVY,KBVY,Beverly Municipal Airport,"Beverly, Massachusetts, United States",UTC-05:00,Mar-Nov
BWC,KBWC,Brawley Municipal Airport,"Brawley, California, United States",UTC-08:00,Mar-Nov
BWD,KBWD,Brownwood Regional Airport,"Brownwood, Texas, United States",UTC-06:00,Mar-Nov
BWG,KBWG,Bowling Green-Warren County Regional Airport,"Bowling Green, Kentucky, United States",UTC-06:00,Mar-Nov
BWI,KBWI,Baltimore/Washington International Thurgood Marshall Airport,"Baltimore–Washington metropolitan area, United States",UTC-05:00,Mar-Nov
WAH,KBWP,Harry Stern Airport (FAA: BWP),"Wahpeton, North Dakota, United States",,
BXA,KBXA,George R. Carr Memorial Air Field,"Bogalusa, Louisiana, United States",UTC-06:00,Mar-Nov
BXK,KBXK,Buckeye Municipal Airport,"Buckeye, Arizona, United States",UTC-07:00,
NHZ,KBXM,Brunswick Executive Airport,"Brunswick, Maine, United States",,
BYG,KBYG,Johnson County Airport,"Buffalo, Wyoming, United States",UTC-07:00,Mar-Nov
BYH,KBYH,Arkansas International Airport,"Blytheville, Arkansas, United States",UTC-06:00,Mar-Nov
BYI,KBYI,Burley Municipal Airport,"Burley, Idaho, United States",UTC-07:00,Mar-Nov
BYS,KBYS,Bicycle Lake Army Airfield (Fort Irwin),"Barstow, California, United States",UTC-08:00,Mar-Nov
BBC,KBYY,Bay City Municipal Airport (FAA: BYY),"Bay City, Texas, United States",UTC-06:00,Mar-Nov
BZN,KBZN,Bozeman Yellowstone International Airport (Gallatin Field),"Bozeman, Montana, United States",UTC-07:00,Mar-Nov
CAD,KCAD,Wexford County Airport,"Cadillac, Michigan, United States",UTC-05:00,Mar–Nov
CAE,KCAE,Columbia Metropolitan Airport,"Columbia, South Carolina, United States",UTC-05:00,Mar–Nov
CIG,KCAG,Craig–Moffat Airport (FAA: CAG),"Craig, Colorado, United States",UTC-07:00,Mar–Nov
CAK,KCAK,Akron-Canton Airport,"Akron / Canton, Ohio, United States",UTC-05:00,Mar–Nov
CAO,KCAO,Clayton Municipal Airpark,"Clayton, New Mexico, United States",UTC-07:00,Mar–Nov
CAR,KCAR,Caribou Municipal Airport,"Caribou, Maine, United States",UTC-05:00,Mar–Nov
CBE,KCBE,Greater Cumberland Regional Airport,"Cumberland, Maryland, United States",UTC-05:00,Mar–Nov
CBF,KCBF,Council Bluffs Municipal Airport,"Council Bluffs, Iowa, United States",UTC-06:00,Mar–Nov
CBK,KCBK,Colby Municipal Airport (Shalz Field),"Colby, Kansas, United States",UTC-06:00,Mar–Nov
CBM,KCBM,Columbus Air Force Base,"Columbus, Mississippi, United States",UTC-06:00,Mar–Nov
CCB,KCCB,Cable Airport,"Upland, California, United States",UTC-08:00,Mar–Nov
CCR,KCCR,Buchanan Field Airport,"Concord, California, United States",UTC-08:00,Mar–Nov
CCY,KCCY,Northeast Iowa Regional Airport,"Charles City, Iowa, United States",UTC-06:00,Mar–Nov
LLX,KCDA,Caledonia County Airport (FAA: CDA),"Lyndonville, Vermont, United States",UTC-05:00,Mar-Nov
CDC,KCDC,Cedar City Regional Airport,"Cedar City, Utah, United States",UTC-07:00,Mar–Nov
CDH,KCDH,Harrell Field,"Camden, Arkansas, United States",UTC-06:00,Mar–Nov
CDK,KCDK,George T. Lewis Airport,"Cedar Key, Florida, United States",UTC-05:00,Mar–Nov
CDN,KCDN,Woodward Field,"Camden, South Carolina, United States",UTC-05:00,Mar–Nov
CDR,KCDR,Chadron Municipal Airport,"Chadron, Nebraska, United States",UTC-07:00,Mar–Nov
CDS,KCDS,Childress Municipal Airport,"Childress, Texas, United States",UTC-06:00,Mar–Nov
CDW,KCDW,Essex County Airport,"Caldwell, New Jersey, United States",UTC-05:00,Mar–Nov
CEA,KCEA,Cessna Aircraft Field,"Wichita, Kansas, United States",UTC-06:00,Mar–Nov
CEC,KCEC,Del Norte County Airport (Jack McNamara Field),"Crescent City, California, United States",UTC-08:00,Mar–Nov
CEF,KCEF,Westover Metropolitan Airport / Westover Air Reserve Base,"Springfield, Massachusetts, United States",UTC-05:00,Mar–Nov
CEU,KCEU,Oconee County Regional Airport,"Clemson, South Carolina, United States",UTC-05:00,Mar–Nov
CEV,KCEV,Mettel Field,"Connersville, Indiana, United States",UTC-05:00,Mar–Nov
CEW,KCEW,Bob Sikes Airport,"Crestview, Florida, United States",UTC-06:00,Mar–Nov
CEY,KCEY,Murray-Calloway County Airport,"Murray, Kentucky, United States",UTC-06:00,Mar–Nov
CEZ,KCEZ,Cortez Municipal Airport,"Cortez, Colorado, United States",UTC-07:00,Mar–Nov
CFD,KCFD,Coulter Field,"Bryan, Texas, United States",UTC-06:00,Mar–Nov
TZC,KCFS,Tuscola Area Airport[1] (FAA: CFS),"Caro, Michigan, United States",,
CFT,KCFT,Greenlee County Airport,"Clifton / Morenci, Arizona, United States",UTC-07:00,
CFV,KCFV,Coffeyville Municipal Airport,"Coffeyville, Kansas, United States",UTC-06:00,Mar–Nov
CGE,KCGE,Cambridge–Dorchester Airport,"Cambridge, Maryland, United States",UTC-05:00,Mar–Nov
CGF,KCGF,Cuyahoga County Airport,"Cleveland, Ohio, United States",UTC-05:00,Mar–Nov
CGI,KCGI,Cape Girardeau Regional Airport,"Cape Girardeau, Missouri, United States",UTC-06:00,Mar–Nov
CGS,KCGS,College Park Airport,"College Park, Maryland, United States",UTC-05:00,Mar–Nov
CGZ,KCGZ,Casa Grande Municipal Airport,"Casa Grande, Arizona, United States",UTC-07:00,
CHA,KCHA,Chattanooga Metropolitan Airport (Lovell Field),"Chattanooga, Tennessee, United States",UTC-05:00,Mar–Nov
CHK,KCHK,Chickasha Municipal Airport,"Chickasha, Oklahoma, United States",UTC-06:00,Mar–Nov
CHO,KCHO,Charlottesville–Albemarle Airport,"Charlottesville, Virginia, United States",UTC-05:00,Mar–Nov
CHS,KCHS,Charleston International Airport / Charleston Air Force Base,"Charleston, South Carolina, United States",UTC-05:00,Mar–Nov
CIC,KCIC,Chico Municipal Airport,"Chico, California, United States",UTC-08:00,Mar–Nov
CID,KCID,The Eastern Iowa Airport,"Cedar Rapids, Iowa, United States",UTC-06:00,Mar–Nov
CIN,KCIN,Arthur N. Neu Airport,"Carroll, Iowa, United States",UTC-06:00,Mar–Nov
CIR,KCIR,Cairo Regional Airport,"Cairo, Illinois, United States",UTC-06:00,Mar–Nov
CIU,KCIU,Chippewa County International Airport,"Sault Ste Marie, Michigan, United States",UTC-05:00,Mar–Nov
CKA,KCKA,Kegelman Air Force Auxiliary Field,"Cherokee, Oklahoma, United States",UTC-06:00,Mar–Nov
CKB,KCKB,North Central West Virginia Airport,"Clarksburg, West Virginia, United States",UTC-05:00,Mar–Nov
GRM,KCKC,Grand Marais/Cook County Airport (FAA: CKC),"Grand Marais, Minnesota, United States",UTC-06:00,Mar-Nov
CKM,KCKM,Fletcher Field,"Clarksdale, Mississippi, United States",UTC-06:00,Mar–Nov
CKN,KCKN,Crookston Municipal Airport (Kirkwood Field),"Crookston, Minnesota, United States",UTC-06:00,Mar–Nov
CKV,KCKV,Clarksville–Montgomery County Regional Airport (Outlaw Field),"Clarksville, Tennessee, United States",UTC-06:00,Mar–Nov
CLE,KCLE,Cleveland Hopkins International Airport,"Cleveland, Ohio, United States",UTC-05:00,Mar–Nov
CLI,KCLI,Clintonville Municipal Airport,"Clintonville, Wisconsin, United States",UTC-06:00,Mar–Nov
CLK,KCLK,Clinton Regional Airport,"Clinton, Oklahoma, United States",UTC-06:00,Mar–Nov
CLL,KCLL,Easterwood Airport (Easterwood Field),"College Station, Texas, United States",UTC-06:00,Mar–Nov
CLM,KCLM,William R. Fairchild International Airport,"Port Angeles, Washington, United States",UTC-08:00,Mar–Nov
CLR,KCLR,Cliff Hatfield Memorial Airport[1],"Calipatria, California, United States",UTC-08:00,Mar–Nov
CLS,KCLS,Chehalis-Centralia Airport,"Chehalis, Washington, United States",UTC-08:00,Mar–Nov
CLT,KCLT,Charlotte Douglas International Airport,"Charlotte, North Carolina, United States",UTC-05:00,Mar–Nov
CLW,KCLW,Clearwater Air Park,"Clearwater, Florida, United States",UTC-05:00,Mar–Nov
CMH,KCMH,John Glenn Columbus International Airport,"Columbus, Ohio, United States",UTC-05:00,Mar–Nov
CMI,KCMI,University of Illinois Willard Airport,"Champaign, Illinois, United States",UTC-06:00,Mar–Nov
CMX,KCMX,Houghton County Memorial Airport,"Hancock, Michigan, United States",UTC-05:00,Mar–Nov
CMY,KCMY,Sparta/Fort McCoy Airport,"Sparta, Wisconsin, United States",UTC-06:00,Mar–Nov
CNH,KCNH,Claremont Municipal Airport,"Claremont, New Hampshire, United States",UTC-05:00,Mar–Nov
CNK,KCNK,Blosser Municipal Airport,"Concordia, Kansas, United States",UTC-06:00,Mar–Nov
CNM,KCNM,Cavern City Air Terminal,"Carlsbad, New Mexico, United States",UTC-07:00,Mar–Nov
CNO,KCNO,Chino Airport,"Chino, California, United States",UTC-08:00,Mar–Nov
CNU,KCNU,Chanute Martin Johnson Airport,"Chanute, Kansas, United States",UTC-06:00,Mar–Nov
CNW,KCNW,TSTC Waco Airport,"Waco, Texas, United States",UTC-06:00,Mar–Nov
CNY,KCNY,Canyonlands Field,"Moab, Utah, United States",UTC-07:00,Mar–Nov
COD,KCOD,Yellowstone Regional Airport,"Cody, Wyoming, United States",UTC-07:00,Mar–Nov
COE,KCOE,Coeur d'Alene Airport,"Coeur d'Alene, Idaho, United States",UTC-08:00,Mar–Nov
COF,KCOF,Patrick Space Force Base,"Cocoa Beach, Florida, United States",UTC-05:00,Mar–Nov
COI,KCOI,Merritt Island Airport,"Merritt Island, Florida, United States",UTC-05:00,Mar–Nov
COM,KCOM,Coleman Municipal Airport,"Coleman, Texas, United States",UTC-06:00,Mar–Nov
CON,KCON,Concord Municipal Airport,"Concord, New Hampshire, United States",UTC-05:00,Mar–Nov
COS,KCOS,Colorado Springs Airport,"Colorado Springs, Colorado, United States",UTC-07:00,Mar–Nov
COT,KCOT,Cotulla–La Salle County Airport,"Cotulla, Texas, United States",UTC-06:00,Mar–Nov
COU,KCOU,Columbia Regional Airport,"Columbia, Missouri, United States",UTC-06:00,Mar–Nov
CPM,KCPM,Compton/Woodley Airport,"Compton, California, United States",UTC-08:00,Mar–Nov
CPR,KCPR,Casper–Natrona County International Airport,"Casper, Wyoming, United States",UTC-07:00,Mar–Nov
CPS,KCPS,St. Louis Downtown Airport,"Cahokia (near St. Louis/MO), Illinois, United States",UTC-06:00,Mar–Nov
HCW,KCQW,"Cheraw Municipal Airport (Lynch Bellinger Field, FAA: CQW)","Cheraw, South Carolina, United States",UTC-05:00,Mar-Nov
CRE,KCRE,Grand Strand Airport,"North Myrtle Beach, South Carolina, United States",UTC-05:00,Mar–Nov
CRG,KCRG,Jacksonville Executive at Craig Airport,"Jacksonville, Florida, United States",UTC-05:00,Mar–Nov
CRO,KCRO,Corcoran Airport,"Corcoran, California, United States",UTC-08:00,Mar–Nov
CRP,KCRP,Corpus Christi International Airport,"Corpus Christi, Texas, United States",UTC-06:00,Mar–Nov
CLD,KCRQ,McClellan–Palomar Airport (FAA: CRQ),"Carlsbad, California, United States",UTC-08:00,Mar–Nov
CRS,KCRS,C. David Campbell Field (Corsicana Municipal Airport),"Corsicana, Texas, United States",UTC-06:00,Mar–Nov
CRT,KCRT,Z. M. Jack Stell Field,"Crossett, Arkansas, United States",UTC-06:00,Mar–Nov
CRW,KCRW,Yeager Airport,"Charleston, West Virginia, United States",UTC-05:00,Mar–Nov
CRX,KCRX,Roscoe Turner Airport,"Corinth, Mississippi, United States",UTC-06:00,Mar–Nov
CSG,KCSG,Columbus Airport,"Columbus, Georgia, United States",UTC-05:00,Mar–Nov
CSM,KCSM,Clinton-Sherman Airport,"Clinton, Oklahoma, United States",UTC-06:00,Mar–Nov
CSQ,KCSQ,Creston Municipal Airport,"Creston, Iowa, United States",UTC-06:00,Mar–Nov
CSV,KCSV,Crossville Memorial-Whitson Field,"Crossville, Tennessee, United States",UTC-06:00,Mar–Nov
CTB,KCTB,Cut Bank Municipal Airport,"Cut Bank, Montana, United States",UTC-07:00,Mar–Nov
CTY,KCTY,Cross City Airport,"Cross City, Florida, United States",UTC-05:00,Mar–Nov
CTZ,KCTZ,Clinton–Sampson County Airport,"Clinton, North Carolina, United States",UTC-05:00,Mar–Nov
CUB,KCUB,Jim Hamilton–L.B. Owens Airport,"Columbia, South Carolina, United States",UTC-05:00,Mar–Nov
CUH,KCUH,Cushing Municipal Airport,"Cushing, Oklahoma, United States",UTC-06:00,Mar–Nov
CVG,KCVG,Cincinnati/Northern Kentucky International Airport,"Hebron (near Cincinnati/OH), Kentucky, United States",UTC-05:00,Mar–Nov
HLI,KCVH,Hollister Municipal Airport (FAA: CVH),"Hollister, California, United States",UTC-08:00,Mar-Nov
CKK,KCVK,Sharp County Regional Airport[1] (FAA: CVK),"Ash Flat, Arkansas, United States",UTC-06:00,Mar–Nov
CVN,KCVN,Clovis Municipal Airport,"Clovis, New Mexico, United States",UTC-07:00,Mar–Nov
CVO,KCVO,Corvallis Municipal Airport,"Corvallis, Oregon, United States",UTC-08:00,Mar–Nov
CVS,KCVS,Cannon Air Force Base,"Clovis, New Mexico, United States",UTC-07:00,Mar–Nov
CWA,KCWA,Central Wisconsin Airport,"Wausau, Wisconsin, United States",UTC-06:00,Mar–Nov
KIP,KCWC,Kickapoo Downtown Airport (FAA: CWC),"Wichita Falls, Texas, United States",UTC-06:00,Mar–Nov
CWF,KCWF,Chennault International Airport,"Lake Charles, Louisiana, United States",UTC-06:00,Mar–Nov
CWI,KCWI,Clinton Municipal Airport,"Clinton, Iowa, United States",UTC-06:00,Mar–Nov
CXL,KCXL,Calexico International Airport,"Calexico, California, United States",UTC-08:00,Mar–Nov
CXO,KCXO,Lone Star Executive Airport,"Houston, Texas, United States",UTC-06:00,Mar–Nov
CSN,KCXP,Carson Airport (FAA: CXP),"Carson City, Nevada, United States",UTC-08:00,Mar–Nov
HAR,KCXY,Capital City Airport (FAA: CXY),"Harrisburg, Pennsylvania, United States",UTC-05:00,Mar-Nov
CYS,KCYS,Cheyenne Regional Airport (Jerry Olson Field),"Cheyenne, Wyoming, United States",UTC-07:00,Mar–Nov
CZK,KCZK,Cascade Locks State Airport,"Cascade Locks, Oregon, United States",UTC-08:00,Mar–Nov
CZT,KCZT,Dimmit County Airport,"Carrizo Springs, Texas, United States",UTC-06:00,Mar–Nov
DAA,KDAA,Davison Army Airfield,"Fort Belvoir, Virginia, United States",UTC-05:00,Mar-Nov
DAB,KDAB,Daytona Beach International Airport,"Daytona Beach, Florida, United States",UTC-05:00,Mar-Nov
DAG,KDAG,Barstow-Daggett Airport,"Daggett, California, United States",UTC-08:00,Mar-Nov
DAL,KDAL,Dallas Love Field,"Dallas, Texas, United States",UTC-06:00,Mar-Nov
DAN,KDAN,Danville Regional Airport,"Danville, Virginia, United States",UTC-05:00,Mar-Nov
DAY,KDAY,Dayton International Airport,"Dayton, Ohio, United States",UTC-05:00,Mar-Nov
DBN,KDBN,W. H. 'Bud' Barron Airport,"Dublin, Georgia, United States",UTC-05:00,Mar-Nov
DBR,KDBQ,Dubuque Regional Airport,"Dubuque, Iowa, United States",UTC-06:00,Mar-Nov
DCA,KDCA,Ronald Reagan Washington National Airport,"Arlington County (near Washington, D.C.), Virginia, United States",UTC-05:00,Mar-Nov
DCU,KDCU,Pryor Field Regional Airport,"Decatur, Alabama, United States",UTC-06:00,Mar-Nov
DDC,KDDC,Dodge City Regional Airport,"Dodge City, Kansas, United States",UTC-06:00,Mar-Nov
DEC,KDEC,Decatur Airport,"Decatur, Illinois, United States",UTC-06:00,Mar-Nov
DEH,KDEH,Decorah Municipal Airport,"Decorah, Iowa, United States",UTC-06:00,Mar-Nov
DEN,KDEN,Denver International Airport,"Denver, Colorado, United States",UTC-07:00,Mar-Nov
DET,KDET,Coleman A. Young International Airport,"Detroit, Michigan, United States",UTC-05:00,Mar-Nov
DFI,KDFI,Defiance Memorial Airport,"Defiance, Ohio, United States",UTC-05:00,Mar-Nov
DFW,KDFW,Dallas/Fort Worth International Airport,"Dallas / Fort Worth, Texas, United States",UTC-06:00,Mar-Nov
DGL,KDGL,Douglas Municipal Airport,"Douglas, Arizona, United States",UTC-07:00,
DGW,KDGW,Converse County Airport,"Douglas, Wyoming, United States",UTC-07:00,Mar-Nov
DHN,KDHN,Dothan Regional Airport,"Dothan, Alabama, United States",UTC-06:00,Mar-Nov
DHT,KDHT,Dalhart Municipal Airport,"Dalhart, Texas, United States",UTC-06:00,Mar-Nov
DIK,KDIK,Dickinson Theodore Roosevelt Regional Airport,"Dickinson, North Dakota, United States",UTC-07:00,Mar-Nov
DKK,KDKK,Chautauqua County/Dunkirk Airport,"Dunkirk, New York, United States",UTC-05:00,Mar-Nov
DLL,KDLC,Dillon County Airport (FAA: DLC),"Dillon, South Carolina, United States",UTC-05:00,Mar-Nov
DLF,KDLF,Laughlin Air Force Base,"Del Rio, Texas, United States",UTC-06:00,Mar-Nov
DLH,KDLH,Duluth International Airport,"Duluth, Minnesota, United States",UTC-06:00,Mar-Nov
DLN,KDLN,Dillon Airport,"Dillon, Montana, United States",UTC-07:00,Mar-Nov
DLS,KDLS,Columbia Gorge Regional Airport (The Dalles Municipal Airport),"The Dalles, Oregon, United States",UTC-08:00,Mar-Nov
DMA,KDMA,Davis–Monthan Air Force Base,"Tucson, Arizona, United States",UTC-07:00,
DMN,KDMN,Deming Municipal Airport,"Deming, New Mexico, United States",UTC-07:00,Mar-Nov
DMO,KDMO,Sedalia Regional Airport,"Sedalia, Missouri, United States",UTC-06:00,Mar-Nov
DNL,KDNL,Daniel Field,"Augusta, Georgia, United States",UTC-05:00,Mar-Nov
DNN,KDNN,Dalton Municipal Airport,"Dalton, Georgia, United States",UTC-05:00,Mar-Nov
DNS,KDNS,Denison Municipal Airport,"Denison, Iowa, United States",UTC-06:00,Mar-Nov
DNV,KDNV,Vermilion Regional Airport,"Danville, Illinois, United States",UTC-06:00,Mar-Nov
DOV,KDOV,Dover Air Force Base,"Dover, Delaware, United States",UTC-05:00,Mar-Nov
DPA,KDPA,DuPage Airport,"West Chicago, Illinois, United States",UTC-06:00,Mar-Nov
DPG,KDPG,Michael Army Airfield,"Dugway, Utah, United States",UTC-07:00,Mar-Nov
DRA,KDRA,Desert Rock Airport,"Mercury, Nevada, United States",UTC-08:00,Mar-Nov
DRI,KDRI,Beauregard Regional Airport,"DeRidder, Louisiana, United States",UTC-06:00,Mar-Nov
DRE,KDRM,Drummond Island Airport (FAA: DRM),"Drummond Island, Michigan, United States",UTC-05:00,Mar-Nov
DRO,KDRO,Durango–La Plata County Airport,"Durango, Colorado, United States",UTC-07:00,Mar-Nov
DRT,KDRT,Del Rio International Airport,"Del Rio, Texas, United States",UTC-06:00,Mar-Nov
DSM,KDSM,Des Moines International Airport,"Des Moines, Iowa, United States",UTC-06:00,Mar-Nov
DSV,KDSV,Dansville Municipal Airport,"Dansville, New York, United States",UTC-05:00,Mar-Nov
DTA,KDTA,Delta Municipal Airport,"Delta, Utah, United States",UTC-07:00,Mar-Nov
DTL,KDTL,Detroit Lakes Airport (Wething Field),"Detroit Lakes, Minnesota, United States",UTC-06:00,Mar-Nov
DTN,KDTN,Shreveport Downtown Airport,"Shreveport, Louisiana, United States",UTC-06:00,Mar-Nov
DSI,KDTS,Destin Executive Airport (FAA: DTS),"Destin, Florida, United States",UTC-06:00,Mar-Nov
DTW,KDTW,Detroit Metropolitan Wayne County Airport,"Detroit, Michigan, United States",UTC-05:00,Mar-Nov
DUA,KDUA,Durant Regional Airport–Eaker Field,"Durant, Oklahoma, United States",UTC-06:00,Mar-Nov
DUC,KDUC,Halliburton Field,"Duncan, Oklahoma, United States",UTC-06:00,Mar-Nov
DUG,KDUG,Bisbee Douglas International Airport,"Bisbee / Douglas, Arizona, United States",UTC-07:00,
DUJ,KDUJ,DuBois Regional Airport,"DuBois, Pennsylvania, United States",UTC-05:00,Mar-Nov
DVL,KDVL,Devils Lake Regional Airport (Devils Lake Municipal Airport),"Devils Lake, North Dakota, United States",UTC-06:00,Mar-Nov
DVN,KDVN,Davenport Municipal Airport,"Davenport, Iowa, United States",UTC-06:00,Mar-Nov
NOT,KDVO,Marin County Airport (Gnoss Field) (FAA: DVO),"Novato, California, United States",,
NSL,KDVP,Slayton Municipal Airport[1] (FAA: DVP),"Slayton, Minnesota, United States",,
DVT,KDVT,Phoenix Deer Valley Airport,"Phoenix, Arizona, United States",UTC-07:00,
DWH,KDWH,David Wayne Hooks Memorial Airport,"Houston, Texas, United States",UTC-06:00,Mar-Nov
DXR,KDXR,Danbury Municipal Airport,"Danbury, Connecticut, United States",UTC-05:00,Mar-Nov
DYL,KDYL,Doylestown Airport,"Doylestown, Pennsylvania, United States",UTC-05:00,Mar-Nov
DYS,KDYS,Dyess Air Force Base,"Abilene, Texas, United States",UTC-06:00,Mar-Nov
EAN,KEAN,Phifer Airfield,"Wheatland, Wyoming, United States",UTC-07:00,Mar-Nov
EAR,KEAR,Kearney Regional Airport,"Kearney, Nebraska, United States",UTC-06:00,Mar-Nov
EAT,KEAT,Pangborn Memorial Airport,"Wenatchee, Washington, United States",UTC-08:00,Mar-Nov
EAU,KEAU,Chippewa Valley Regional Airport,"Eau Claire, Wisconsin, United States",UTC-06:00,Mar-Nov
EBS,KEBS,Webster City Municipal Airport,"Webster City, Iowa, United States",UTC-06:00,Mar-Nov
ECG,KECG,Elizabeth City Regional Airport,"Elizabeth City, North Carolina, United States",UTC-05:00,Mar-Nov
ECP,KECP,Northwest Florida Beaches International Airport,"Panama City, Florida, United States",UTC-06:00,Mar-Nov
ECS,KECS,Mondell Field,"Newcastle, Wyoming, United States",UTC-07:00,Mar-Nov
EDE,KEDE,Northeastern Regional Airport,"Edenton, North Carolina, United States",UTC-05:00,Mar-Nov
ETS,KEDN,Enterprise Municipal Airport (FAA: EDN),"Enterprise, Alabama, United States",UTC-06:00,Mar-Nov
EDW,KEDW,Edwards Air Force Base,"Edwards, California, United States",UTC-08:00,Mar-Nov
EED,KEED,Needles Airport,"Needles, California, United States",UTC-08:00,Mar-Nov
EEN,KEEN,Dillant–Hopkins Airport,"Keene, New Hampshire, United States",UTC-05:00,Mar-Nov
EFD,KEFD,Ellington Field,"Houston, Texas, United States",UTC-06:00,Mar-Nov
EFK,KEFK,Newport State Airport,"Newport, Vermont, United States",UTC-05:00,Mar-Nov
EFW,KEFW,Jefferson Municipal Airport,"Jefferson, Iowa, United States",UTC-06:00,Mar-Nov
EGE,KEGE,Eagle County Regional Airport,"Eagle / Vail, Colorado, United States",UTC-07:00,Mar-Nov
